[1677845232.2415216][1233520][Stabilizer]: {'stabilizer.roll': -0.36876222491264343, 'stabilizer.pitch': -0.7156527638435364, 'stabilizer.yaw': 0.06184941530227661, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.2521052][1233530][Stabilizer]: {'stabilizer.roll': -0.31115150451660156, 'stabilizer.pitch': -0.7166082859039307, 'stabilizer.yaw': 0.059299591928720474, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.2612395][1233540][Stabilizer]: {'stabilizer.roll': -0.3343256413936615, 'stabilizer.pitch': -0.7180783152580261, 'stabilizer.yaw': 0.06140954792499542, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.272974][1233550][Stabilizer]: {'stabilizer.roll': -0.3326660692691803, 'stabilizer.pitch': -0.7164559364318848, 'stabilizer.yaw': 0.06089732423424721, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.2821994][1233560][Stabilizer]: {'stabilizer.roll': -0.3560493290424347, 'stabilizer.pitch': -0.6912278532981873, 'stabilizer.yaw': 0.06334416568279266, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845232.292402][1233570][Stabilizer]: {'stabilizer.roll': -0.3447137475013733, 'stabilizer.pitch': -0.7645409107208252, 'stabilizer.yaw': 0.0618809312582016, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845232.302339][1233580][Stabilizer]: {'stabilizer.roll': -0.3435152769088745, 'stabilizer.pitch': -0.762361466884613, 'stabilizer.yaw': 0.06301147490739822, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845232.3136823][1233590][Stabilizer]: {'stabilizer.roll': -0.25723695755004883, 'stabilizer.pitch': -0.767792820930481, 'stabilizer.yaw': 0.05972525104880333, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845232.3221009][1233600][Stabilizer]: {'stabilizer.roll': -0.28173306584358215, 'stabilizer.pitch': -0.7658473253250122, 'stabilizer.yaw': 0.059230078011751175, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845232.3316813][1233610][Stabilizer]: {'stabilizer.roll': -0.28983545303344727, 'stabilizer.pitch': -0.7259275317192078, 'stabilizer.yaw': 0.06041239947080612, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845232.342787][1233620][Stabilizer]: {'stabilizer.roll': -0.3317529857158661, 'stabilizer.pitch': -0.7029121518135071, 'stabilizer.yaw': 0.061792656779289246, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845232.3515437][1233630][Stabilizer]: {'stabilizer.roll': -0.25321754813194275, 'stabilizer.pitch': -0.7714016437530518, 'stabilizer.yaw': 0.05700228735804558, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845232.3613598][1233640][Stabilizer]: {'stabilizer.roll': -0.27095404267311096, 'stabilizer.pitch': -0.7686346173286438, 'stabilizer.yaw': 0.05849830433726311, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845232.372052][1233650][Stabilizer]: {'stabilizer.roll': -0.24671989679336548, 'stabilizer.pitch': -0.7691287398338318, 'stabilizer.yaw': 0.05776533484458923, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845232.3817284][1233660][Stabilizer]: {'stabilizer.roll': -0.29261547327041626, 'stabilizer.pitch': -0.6911783218383789, 'stabilizer.yaw': 0.061954621225595474, 'stateEstimateZ.x': -357, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845232.3914814][1233670][Stabilizer]: {'stabilizer.roll': -0.2571637034416199, 'stabilizer.pitch': -0.7618191242218018, 'stabilizer.yaw': 0.059228409081697464, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845232.4019296][1233680][Stabilizer]: {'stabilizer.roll': -0.32810693979263306, 'stabilizer.pitch': -0.7081089019775391, 'stabilizer.yaw': 0.06264447420835495, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845232.412599][1233690][Stabilizer]: {'stabilizer.roll': -0.25616756081581116, 'stabilizer.pitch': -0.7350034713745117, 'stabilizer.yaw': 0.05979038029909134, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 13}
[1677845232.422193][1233700][Stabilizer]: {'stabilizer.roll': -0.34477517008781433, 'stabilizer.pitch': -0.7007971405982971, 'stabilizer.yaw': 0.06447656452655792, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.4330657][1233710][Stabilizer]: {'stabilizer.roll': -0.24446748197078705, 'stabilizer.pitch': -0.7733193039894104, 'stabilizer.yaw': 0.05810253694653511, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 13}
[1677845232.4421775][1233720][Stabilizer]: {'stabilizer.roll': -0.27464744448661804, 'stabilizer.pitch': -0.7465175986289978, 'stabilizer.yaw': 0.06047714129090309, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 13}
[1677845232.4520104][1233730][Stabilizer]: {'stabilizer.roll': -0.2568948566913605, 'stabilizer.pitch': -0.7555050849914551, 'stabilizer.yaw': 0.05980990082025528, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 13}
[1677845232.4618902][1233740][Stabilizer]: {'stabilizer.roll': -0.2553040683269501, 'stabilizer.pitch': -0.7533992528915405, 'stabilizer.yaw': 0.059871722012758255, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 13}
[1677845232.4723177][1233750][Stabilizer]: {'stabilizer.roll': -0.330780953168869, 'stabilizer.pitch': -0.741733729839325, 'stabilizer.yaw': 0.06277121603488922, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
