[1678712672.446875][134537][Stabilizer]: {'stabilizer.roll': -12.646117210388184, 'stabilizer.pitch': -79.4383544921875, 'stabilizer.yaw': -6.85333251953125, 'stateEstimateZ.x': -7614, 'stateEstimateZ.y': 154, 'stateEstimateZ.z': 85}
[1678712672.4506102][134547][Stabilizer]: {'stabilizer.roll': -12.62024211883545, 'stabilizer.pitch': -79.41081237792969, 'stabilizer.yaw': -6.826755523681641, 'stateEstimateZ.x': -7639, 'stateEstimateZ.y': 151, 'stateEstimateZ.z': 84}
[1678712672.4625406][134557][Stabilizer]: {'stabilizer.roll': -12.723108291625977, 'stabilizer.pitch': -79.48091888427734, 'stabilizer.yaw': -6.920989513397217, 'stateEstimateZ.x': -7666, 'stateEstimateZ.y': 145, 'stateEstimateZ.z': 88}
[1678712672.4725437][134567][Stabilizer]: {'stabilizer.roll': -12.635720252990723, 'stabilizer.pitch': -79.40811920166016, 'stabilizer.yaw': -6.836569309234619, 'stateEstimateZ.x': -7696, 'stateEstimateZ.y': 142, 'stateEstimateZ.z': 87}
[1678712672.4817352][134577][Stabilizer]: {'stabilizer.roll': -12.55560302734375, 'stabilizer.pitch': -79.33483123779297, 'stabilizer.yaw': -6.76116418838501, 'stateEstimateZ.x': -7726, 'stateEstimateZ.y': 139, 'stateEstimateZ.z': 86}
[1678712672.4914882][134587][Stabilizer]: {'stabilizer.roll': -12.63102912902832, 'stabilizer.pitch': -79.41275787353516, 'stabilizer.yaw': -6.830761909484863, 'stateEstimateZ.x': -7742, 'stateEstimateZ.y': 135, 'stateEstimateZ.z': 84}
[1678712672.5011456][134597][Stabilizer]: {'stabilizer.roll': -12.714163780212402, 'stabilizer.pitch': -79.47059631347656, 'stabilizer.yaw': -6.905911922454834, 'stateEstimateZ.x': -7769, 'stateEstimateZ.y': 129, 'stateEstimateZ.z': 89}
[1678712672.511249][134607][Stabilizer]: {'stabilizer.roll': -12.637166023254395, 'stabilizer.pitch': -79.3982925415039, 'stabilizer.yaw': -6.8326849937438965, 'stateEstimateZ.x': -7799, 'stateEstimateZ.y': 126, 'stateEstimateZ.z': 88}
[1678712672.5205226][134617][Stabilizer]: {'stabilizer.roll': -12.65737247467041, 'stabilizer.pitch': -79.42766571044922, 'stabilizer.yaw': -6.849259853363037, 'stateEstimateZ.x': -7820, 'stateEstimateZ.y': 122, 'stateEstimateZ.z': 86}
[1678712672.5320373][134627][Stabilizer]: {'stabilizer.roll': -12.589838027954102, 'stabilizer.pitch': -79.35852813720703, 'stabilizer.yaw': -6.785984992980957, 'stateEstimateZ.x': -7850, 'stateEstimateZ.y': 119, 'stateEstimateZ.z': 85}
[1678712672.5410135][134637][Stabilizer]: {'stabilizer.roll': -12.511287689208984, 'stabilizer.pitch': -79.28528594970703, 'stabilizer.yaw': -6.71131706237793, 'stateEstimateZ.x': -7881, 'stateEstimateZ.y': 116, 'stateEstimateZ.z': 84}
[1678712672.5550506][134647][Stabilizer]: {'stabilizer.roll': -12.679595947265625, 'stabilizer.pitch': -79.40774536132812, 'stabilizer.yaw': -6.866178512573242, 'stateEstimateZ.x': -7906, 'stateEstimateZ.y': 109, 'stateEstimateZ.z': 90}
[1678712672.5617146][134657][Stabilizer]: {'stabilizer.roll': -12.604177474975586, 'stabilizer.pitch': -79.33470916748047, 'stabilizer.yaw': -6.795934677124023, 'stateEstimateZ.x': -7937, 'stateEstimateZ.y': 106, 'stateEstimateZ.z': 88}
[1678712672.574589][134667][Stabilizer]: {'stabilizer.roll': -12.530733108520508, 'stabilizer.pitch': -79.26213073730469, 'stabilizer.yaw': -6.726757526397705, 'stateEstimateZ.x': -7967, 'stateEstimateZ.y': 102, 'stateEstimateZ.z': 87}
[1678712672.5850918][134677][Stabilizer]: {'stabilizer.roll': -12.455893516540527, 'stabilizer.pitch': -79.18905639648438, 'stabilizer.yaw': -6.655714511871338, 'stateEstimateZ.x': -7998, 'stateEstimateZ.y': 99, 'stateEstimateZ.z': 86}
[1678712672.5907576][134687][Stabilizer]: {'stabilizer.roll': -12.562657356262207, 'stabilizer.pitch': -79.26591491699219, 'stabilizer.yaw': -6.752326488494873, 'stateEstimateZ.x': -8025, 'stateEstimateZ.y': 93, 'stateEstimateZ.z': 90}
[1678712672.6015725][134697][Stabilizer]: {'stabilizer.roll': -13.087578773498535, 'stabilizer.pitch': -79.82449340820312, 'stabilizer.yaw': -7.248523235321045, 'stateEstimateZ.x': -7994, 'stateEstimateZ.y': 90, 'stateEstimateZ.z': 90}
[1678712672.611064][134707][Stabilizer]: {'stabilizer.roll': -13.005745887756348, 'stabilizer.pitch': -79.75141143798828, 'stabilizer.yaw': -7.171245098114014, 'stateEstimateZ.x': -8024, 'stateEstimateZ.y': 87, 'stateEstimateZ.z': 89}
[1678712672.6203713][134717][Stabilizer]: {'stabilizer.roll': -12.922342300415039, 'stabilizer.pitch': -79.67801666259766, 'stabilizer.yaw': -7.090771198272705, 'stateEstimateZ.x': -8054, 'stateEstimateZ.y': 84, 'stateEstimateZ.z': 88}
[1678712672.6316519][134727][Stabilizer]: {'stabilizer.roll': -12.837686538696289, 'stabilizer.pitch': -79.60285186767578, 'stabilizer.yaw': -7.01022481918335, 'stateEstimateZ.x': -8084, 'stateEstimateZ.y': 81, 'stateEstimateZ.z': 86}
[1678712672.6423006][134737][Stabilizer]: {'stabilizer.roll': -12.80077075958252, 'stabilizer.pitch': -79.56128692626953, 'stabilizer.yaw': -6.974268913269043, 'stateEstimateZ.x': -8114, 'stateEstimateZ.y': 77, 'stateEstimateZ.z': 86}
[1678712672.650187][134747][Stabilizer]: {'stabilizer.roll': -12.956724166870117, 'stabilizer.pitch': -79.71746826171875, 'stabilizer.yaw': -7.120497226715088, 'stateEstimateZ.x': -8122, 'stateEstimateZ.y': 73, 'stateEstimateZ.z': 85}
[1678712672.6608584][134757][Stabilizer]: {'stabilizer.roll': -12.875149726867676, 'stabilizer.pitch': -79.64557647705078, 'stabilizer.yaw': -7.04272985458374, 'stateEstimateZ.x': -8153, 'stateEstimateZ.y': 70, 'stateEstimateZ.z': 84}
[1678712672.670743][134767][Stabilizer]: {'stabilizer.roll': -12.790849685668945, 'stabilizer.pitch': -79.57256317138672, 'stabilizer.yaw': -6.963306903839111, 'stateEstimateZ.x': -8183, 'stateEstimateZ.y': 67, 'stateEstimateZ.z': 82}
[1678712672.6812706][134777][Stabilizer]: {'stabilizer.roll': -12.936704635620117, 'stabilizer.pitch': -79.6867904663086, 'stabilizer.yaw': -7.100142955780029, 'stateEstimateZ.x': -8205, 'stateEstimateZ.y': 61, 'stateEstimateZ.z': 87}
[1678712672.6910374][134787][Stabilizer]: {'stabilizer.roll': -12.851033210754395, 'stabilizer.pitch': -79.61358642578125, 'stabilizer.yaw': -7.017395973205566, 'stateEstimateZ.x': -8236, 'stateEstimateZ.y': 58, 'stateEstimateZ.z': 85}
[1678712672.7026908][134797][Stabilizer]: {'stabilizer.roll': -12.774979591369629, 'stabilizer.pitch': -79.54125213623047, 'stabilizer.yaw': -6.944876670837402, 'stateEstimateZ.x': -8266, 'stateEstimateZ.y': 55, 'stateEstimateZ.z': 84}
[1678712672.7116067][134807][Stabilizer]: {'stabilizer.roll': -12.700308799743652, 'stabilizer.pitch': -79.47026062011719, 'stabilizer.yaw': -6.874489784240723, 'stateEstimateZ.x': -8297, 'stateEstimateZ.y': 52, 'stateEstimateZ.z': 82}
[1678712672.7216637][134817][Stabilizer]: {'stabilizer.roll': -12.622418403625488, 'stabilizer.pitch': -79.39632415771484, 'stabilizer.yaw': -6.800578594207764, 'stateEstimateZ.x': -8328, 'stateEstimateZ.y': 49, 'stateEstimateZ.z': 80}
[1678712672.7339091][134827][Stabilizer]: {'stabilizer.roll': -12.82323932647705, 'stabilizer.pitch': -79.53919982910156, 'stabilizer.yaw': -6.986978530883789, 'stateEstimateZ.x': -8352, 'stateEstimateZ.y': 42, 'stateEstimateZ.z': 87}
[1678712672.7418866][134837][Stabilizer]: {'stabilizer.roll': -12.746408462524414, 'stabilizer.pitch': -79.46112823486328, 'stabilizer.yaw': -6.914638042449951, 'stateEstimateZ.x': -8383, 'stateEstimateZ.y': 39, 'stateEstimateZ.z': 85}
[1678712672.753279][134847][Stabilizer]: {'stabilizer.roll': -12.662339210510254, 'stabilizer.pitch': -79.38516235351562, 'stabilizer.yaw': -6.835123062133789, 'stateEstimateZ.x': -8414, 'stateEstimateZ.y': 35, 'stateEstimateZ.z': 84}
[1678712672.7618039][134857][Stabilizer]: {'stabilizer.roll': -12.579010009765625, 'stabilizer.pitch': -79.30660247802734, 'stabilizer.yaw': -6.757421970367432, 'stateEstimateZ.x': -8445, 'stateEstimateZ.y': 32, 'stateEstimateZ.z': 83}
[1678712672.7712123][134867][Stabilizer]: {'stabilizer.roll': -12.744372367858887, 'stabilizer.pitch': -79.42790222167969, 'stabilizer.yaw': -6.909743785858154, 'stateEstimateZ.x': -8471, 'stateEstimateZ.y': 25, 'stateEstimateZ.z': 89}
[1678712672.7834535][134877][Stabilizer]: {'stabilizer.roll': -13.367972373962402, 'stabilizer.pitch': -80.22518157958984, 'stabilizer.yaw': -7.543118000030518, 'stateEstimateZ.x': -8417, 'stateEstimateZ.y': 38, 'stateEstimateZ.z': 90}
[1678712672.7915308][134887][Stabilizer]: {'stabilizer.roll': -13.283238410949707, 'stabilizer.pitch': -80.15444946289062, 'stabilizer.yaw': -7.462210178375244, 'stateEstimateZ.x': -8446, 'stateEstimateZ.y': 35, 'stateEstimateZ.z': 88}
[1678712672.8017223][134897][Stabilizer]: {'stabilizer.roll': -13.19100570678711, 'stabilizer.pitch': -80.08493041992188, 'stabilizer.yaw': -7.373042583465576, 'stateEstimateZ.x': -8476, 'stateEstimateZ.y': 31, 'stateEstimateZ.z': 87}
[1678712672.8113146][134907][Stabilizer]: {'stabilizer.roll': -13.115385055541992, 'stabilizer.pitch': -80.02002716064453, 'stabilizer.yaw': -7.301946640014648, 'stateEstimateZ.x': -8506, 'stateEstimateZ.y': 28, 'stateEstimateZ.z': 85}
[1678712672.823065][134917][Stabilizer]: {'stabilizer.roll': -13.00114631652832, 'stabilizer.pitch': -79.9326171875, 'stabilizer.yaw': -7.194222450256348, 'stateEstimateZ.x': -8535, 'stateEstimateZ.y': 26, 'stateEstimateZ.z': 82}
[1678712672.8323743][134927][Stabilizer]: {'stabilizer.roll': -12.843061447143555, 'stabilizer.pitch': -80.03770446777344, 'stabilizer.yaw': -7.094740390777588, 'stateEstimateZ.x': -8550, 'stateEstimateZ.y': 42, 'stateEstimateZ.z': 81}
[1678712672.8416214][134937][Stabilizer]: {'stabilizer.roll': -12.770346641540527, 'stabilizer.pitch': -79.97880554199219, 'stabilizer.yaw': -7.025392055511475, 'stateEstimateZ.x': -8579, 'stateEstimateZ.y': 38, 'stateEstimateZ.z': 79}
[1678712672.8509796][134947][Stabilizer]: {'stabilizer.roll': -12.688077926635742, 'stabilizer.pitch': -79.90608215332031, 'stabilizer.yaw': -6.948826313018799, 'stateEstimateZ.x': -8609, 'stateEstimateZ.y': 35, 'stateEstimateZ.z': 77}
[1678712672.8617098][134957][Stabilizer]: {'stabilizer.roll': -12.907256126403809, 'stabilizer.pitch': -80.04386138916016, 'stabilizer.yaw': -7.159915924072266, 'stateEstimateZ.x': -8634, 'stateEstimateZ.y': 30, 'stateEstimateZ.z': 84}
[1678712672.8724697][134967][Stabilizer]: {'stabilizer.roll': -12.866429328918457, 'stabilizer.pitch': -79.97355651855469, 'stabilizer.yaw': -7.1135759353637695, 'stateEstimateZ.x': -8664, 'stateEstimateZ.y': 23, 'stateEstimateZ.z': 82}
[1678712672.881108][134977][Stabilizer]: {'stabilizer.roll': -12.740676879882812, 'stabilizer.pitch': -79.90359497070312, 'stabilizer.yaw': -7.003779411315918, 'stateEstimateZ.x': -8694, 'stateEstimateZ.y': 23, 'stateEstimateZ.z': 81}
[1678712672.8915474][134987][Stabilizer]: {'stabilizer.roll': -12.66114330291748, 'stabilizer.pitch': -79.82959747314453, 'stabilizer.yaw': -6.930295467376709, 'stateEstimateZ.x': -8725, 'stateEstimateZ.y': 20, 'stateEstimateZ.z': 79}
[1678712672.902762][134997][Stabilizer]: {'stabilizer.roll': -12.990777969360352, 'stabilizer.pitch': -79.95624542236328, 'stabilizer.yaw': -7.21763801574707, 'stateEstimateZ.x': -8748, 'stateEstimateZ.y': 4, 'stateEstimateZ.z': 85}
[1678712672.911946][135007][Stabilizer]: {'stabilizer.roll': -12.852739334106445, 'stabilizer.pitch': -79.89086151123047, 'stabilizer.yaw': -7.101619720458984, 'stateEstimateZ.x': -8778, 'stateEstimateZ.y': 6, 'stateEstimateZ.z': 84}
[1678712672.9210637][135017][Stabilizer]: {'stabilizer.roll': -12.766321182250977, 'stabilizer.pitch': -79.82102966308594, 'stabilizer.yaw': -7.020300388336182, 'stateEstimateZ.x': -8809, 'stateEstimateZ.y': 2, 'stateEstimateZ.z': 82}
[1678712672.9332135][135027][Stabilizer]: {'stabilizer.roll': -12.771916389465332, 'stabilizer.pitch': -79.7596664428711, 'stabilizer.yaw': -7.011288166046143, 'stateEstimateZ.x': -8839, 'stateEstimateZ.y': -5, 'stateEstimateZ.z': 81}
[1678712672.9440012][135037][Stabilizer]: {'stabilizer.roll': -12.628548622131348, 'stabilizer.pitch': -79.70545959472656, 'stabilizer.yaw': -6.887661457061768, 'stateEstimateZ.x': -8868, 'stateEstimateZ.y': -3, 'stateEstimateZ.z': 79}
[1678712672.9513829][135047][Stabilizer]: {'stabilizer.roll': -12.837364196777344, 'stabilizer.pitch': -79.85317993164062, 'stabilizer.yaw': -7.084827899932861, 'stateEstimateZ.x': -8893, 'stateEstimateZ.y': -10, 'stateEstimateZ.z': 85}
[1678712672.961222][135057][Stabilizer]: {'stabilizer.roll': -12.765049934387207, 'stabilizer.pitch': -79.78427124023438, 'stabilizer.yaw': -7.01798152923584, 'stateEstimateZ.x': -8924, 'stateEstimateZ.y': -13, 'stateEstimateZ.z': 84}
[1678712672.9707189][135067][Stabilizer]: {'stabilizer.roll': -12.681774139404297, 'stabilizer.pitch': -79.7118911743164, 'stabilizer.yaw': -6.938969135284424, 'stateEstimateZ.x': -8955, 'stateEstimateZ.y': -16, 'stateEstimateZ.z': 83}
[1678712672.982445][135077][Stabilizer]: {'stabilizer.roll': -12.599842071533203, 'stabilizer.pitch': -79.63731384277344, 'stabilizer.yaw': -6.8625807762146, 'stateEstimateZ.x': -8987, 'stateEstimateZ.y': -19, 'stateEstimateZ.z': 81}
[1678712672.9916654][135087][Stabilizer]: {'stabilizer.roll': -13.246891975402832, 'stabilizer.pitch': -79.78227996826172, 'stabilizer.yaw': -7.390545845031738, 'stateEstimateZ.x': -9006, 'stateEstimateZ.y': -59, 'stateEstimateZ.z': 86}
[1678712673.0006783][135097][Stabilizer]: {'stabilizer.roll': -13.141029357910156, 'stabilizer.pitch': -79.7086181640625, 'stabilizer.yaw': -7.294365882873535, 'stateEstimateZ.x': -9036, 'stateEstimateZ.y': -60, 'stateEstimateZ.z': 85}
[1678712673.0108235][135107][Stabilizer]: {'stabilizer.roll': -13.051504135131836, 'stabilizer.pitch': -79.63008117675781, 'stabilizer.yaw': -7.207714557647705, 'stateEstimateZ.x': -9068, 'stateEstimateZ.y': -63, 'stateEstimateZ.z': 83}
[1678712673.0209265][135117][Stabilizer]: {'stabilizer.roll': -12.974322319030762, 'stabilizer.pitch': -79.56018829345703, 'stabilizer.yaw': -7.133401393890381, 'stateEstimateZ.x': -9100, 'stateEstimateZ.y': -67, 'stateEstimateZ.z': 82}
[1678712673.0308044][135127][Stabilizer]: {'stabilizer.roll': -12.920031547546387, 'stabilizer.pitch': -79.59498596191406, 'stabilizer.yaw': -7.098616600036621, 'stateEstimateZ.x': -9123, 'stateEstimateZ.y': -63, 'stateEstimateZ.z': 81}
[1678712673.0406976][135137][Stabilizer]: {'stabilizer.roll': -13.089466094970703, 'stabilizer.pitch': -79.72960662841797, 'stabilizer.yaw': -7.2492899894714355, 'stateEstimateZ.x': -9149, 'stateEstimateZ.y': -72, 'stateEstimateZ.z': 86}
[1678712673.0515907][135147][Stabilizer]: {'stabilizer.roll': -13.097224235534668, 'stabilizer.pitch': -79.69190216064453, 'stabilizer.yaw': -7.245419979095459, 'stateEstimateZ.x': -9177, 'stateEstimateZ.y': -79, 'stateEstimateZ.z': 85}
[1678712673.0609024][135157][Stabilizer]: {'stabilizer.roll': -13.01205062866211, 'stabilizer.pitch': -79.61136627197266, 'stabilizer.yaw': -7.165484428405762, 'stateEstimateZ.x': -9209, 'stateEstimateZ.y': -82, 'stateEstimateZ.z': 84}
[1678712673.0711997][135167][Stabilizer]: {'stabilizer.roll': -12.934487342834473, 'stabilizer.pitch': -79.53447723388672, 'stabilizer.yaw': -7.093014717102051, 'stateEstimateZ.x': -9241, 'stateEstimateZ.y': -86, 'stateEstimateZ.z': 83}
[1678712673.0805762][135177][Stabilizer]: {'stabilizer.roll': -13.033310890197754, 'stabilizer.pitch': -79.61334228515625, 'stabilizer.yaw': -7.181985378265381, 'stateEstimateZ.x': -9269, 'stateEstimateZ.y': -93, 'stateEstimateZ.z': 88}
[1678712673.090205][135187][Stabilizer]: {'stabilizer.roll': -13.01435375213623, 'stabilizer.pitch': -79.72032165527344, 'stabilizer.yaw': -7.191977024078369, 'stateEstimateZ.x': -9284, 'stateEstimateZ.y': -86, 'stateEstimateZ.z': 87}
[1678712673.1005726][135197][Stabilizer]: {'stabilizer.roll': -12.942292213439941, 'stabilizer.pitch': -79.65230560302734, 'stabilizer.yaw': -7.127291679382324, 'stateEstimateZ.x': -9316, 'stateEstimateZ.y': -89, 'stateEstimateZ.z': 86}
[1678712673.111083][135207][Stabilizer]: {'stabilizer.roll': -12.85529899597168, 'stabilizer.pitch': -79.5849838256836, 'stabilizer.yaw': -7.0447282791137695, 'stateEstimateZ.x': -9349, 'stateEstimateZ.y': -93, 'stateEstimateZ.z': 85}
[1678712673.120248][135217][Stabilizer]: {'stabilizer.roll': -12.776823043823242, 'stabilizer.pitch': -79.5160140991211, 'stabilizer.yaw': -6.974057197570801, 'stateEstimateZ.x': -9381, 'stateEstimateZ.y': -96, 'stateEstimateZ.z': 83}
[1678712673.130794][135227][Stabilizer]: {'stabilizer.roll': -12.902575492858887, 'stabilizer.pitch': -79.59634399414062, 'stabilizer.yaw': -7.0906548500061035, 'stateEstimateZ.x': -9409, 'stateEstimateZ.y': -103, 'stateEstimateZ.z': 88}
[1678712673.142573][135237][Stabilizer]: {'stabilizer.roll': -12.806563377380371, 'stabilizer.pitch': -79.51689147949219, 'stabilizer.yaw': -7.002505302429199, 'stateEstimateZ.x': -9442, 'stateEstimateZ.y': -106, 'stateEstimateZ.z': 87}
[1678712673.1509876][135247][Stabilizer]: {'stabilizer.roll': -13.142634391784668, 'stabilizer.pitch': -79.8027114868164, 'stabilizer.yaw': -7.322249412536621, 'stateEstimateZ.x': -9440, 'stateEstimateZ.y': -111, 'stateEstimateZ.z': 86}
[1678712673.161288][135257][Stabilizer]: {'stabilizer.roll': -13.058046340942383, 'stabilizer.pitch': -79.73518371582031, 'stabilizer.yaw': -7.244412422180176, 'stateEstimateZ.x': -9472, 'stateEstimateZ.y': -114, 'stateEstimateZ.z': 85}
[1678712673.1714985][135267][Stabilizer]: {'stabilizer.roll': -13.03915786743164, 'stabilizer.pitch': -79.7146987915039, 'stabilizer.yaw': -7.224611759185791, 'stateEstimateZ.x': -9504, 'stateEstimateZ.y': -119, 'stateEstimateZ.z': 86}
[1678712673.1811461][135277][Stabilizer]: {'stabilizer.roll': -12.956449508666992, 'stabilizer.pitch': -79.64022064208984, 'stabilizer.yaw': -7.144351482391357, 'stateEstimateZ.x': -9536, 'stateEstimateZ.y': -122, 'stateEstimateZ.z': 85}
[1678712673.1910012][135287][Stabilizer]: {'stabilizer.roll': -12.886221885681152, 'stabilizer.pitch': -79.55843353271484, 'stabilizer.yaw': -7.077515602111816, 'stateEstimateZ.x': -9569, 'stateEstimateZ.y': -125, 'stateEstimateZ.z': 83}
[1678712673.201378][135297][Stabilizer]: {'stabilizer.roll': -12.802047729492188, 'stabilizer.pitch': -79.48845672607422, 'stabilizer.yaw': -6.995189666748047, 'stateEstimateZ.x': -9601, 'stateEstimateZ.y': -129, 'stateEstimateZ.z': 82}
[1678712673.2131257][135307][Stabilizer]: {'stabilizer.roll': -12.722033500671387, 'stabilizer.pitch': -79.412109375, 'stabilizer.yaw': -6.914558410644531, 'stateEstimateZ.x': -9634, 'stateEstimateZ.y': -132, 'stateEstimateZ.z': 81}
[1678712673.2213984][135317][Stabilizer]: {'stabilizer.roll': -13.002211570739746, 'stabilizer.pitch': -79.92816925048828, 'stabilizer.yaw': -7.239859104156494, 'stateEstimateZ.x': -9620, 'stateEstimateZ.y': -112, 'stateEstimateZ.z': 84}
[1678712673.2345865][135327][Stabilizer]: {'stabilizer.roll': -12.919702529907227, 'stabilizer.pitch': -79.85749053955078, 'stabilizer.yaw': -7.158245086669922, 'stateEstimateZ.x': -9651, 'stateEstimateZ.y': -116, 'stateEstimateZ.z': 82}
[1678712673.242782][135337][Stabilizer]: {'stabilizer.roll': -12.842815399169922, 'stabilizer.pitch': -79.78282165527344, 'stabilizer.yaw': -7.083281517028809, 'stateEstimateZ.x': -9683, 'stateEstimateZ.y': -119, 'stateEstimateZ.z': 81}
[1678712673.2519593][135347][Stabilizer]: {'stabilizer.roll': -12.752998352050781, 'stabilizer.pitch': -79.70286560058594, 'stabilizer.yaw': -6.99708366394043, 'stateEstimateZ.x': -9716, 'stateEstimateZ.y': -123, 'stateEstimateZ.z': 80}
[1678712673.2602832][135357][Stabilizer]: {'stabilizer.roll': -12.926697731018066, 'stabilizer.pitch': -79.82085418701172, 'stabilizer.yaw': -7.161990642547607, 'stateEstimateZ.x': -9743, 'stateEstimateZ.y': -128, 'stateEstimateZ.z': 86}
[1678712673.2709002][135367][Stabilizer]: {'stabilizer.roll': -12.856412887573242, 'stabilizer.pitch': -79.75405883789062, 'stabilizer.yaw': -7.098087787628174, 'stateEstimateZ.x': -9776, 'stateEstimateZ.y': -132, 'stateEstimateZ.z': 85}
[1678712673.2829442][135377][Stabilizer]: {'stabilizer.roll': -13.04149341583252, 'stabilizer.pitch': -79.90713500976562, 'stabilizer.yaw': -7.275548458099365, 'stateEstimateZ.x': -9791, 'stateEstimateZ.y': -137, 'stateEstimateZ.z': 84}
[1678712673.2920313][135387][Stabilizer]: {'stabilizer.roll': -12.943402290344238, 'stabilizer.pitch': -79.82965850830078, 'stabilizer.yaw': -7.182333469390869, 'stateEstimateZ.x': -9823, 'stateEstimateZ.y': -140, 'stateEstimateZ.z': 82}
[1678712673.3016214][135397][Stabilizer]: {'stabilizer.roll': -12.853843688964844, 'stabilizer.pitch': -79.75394439697266, 'stabilizer.yaw': -7.097750186920166, 'stateEstimateZ.x': -9855, 'stateEstimateZ.y': -143, 'stateEstimateZ.z': 81}
[1678712673.3120258][135407][Stabilizer]: {'stabilizer.roll': -12.987648010253906, 'stabilizer.pitch': -79.83905792236328, 'stabilizer.yaw': -7.223377227783203, 'stateEstimateZ.x': -9879, 'stateEstimateZ.y': -149, 'stateEstimateZ.z': 84}
[1678712673.3217103][135417][Stabilizer]: {'stabilizer.roll': -12.985091209411621, 'stabilizer.pitch': -79.76618194580078, 'stabilizer.yaw': -7.208525657653809, 'stateEstimateZ.x': -9912, 'stateEstimateZ.y': -159, 'stateEstimateZ.z': 82}
